time_s,envelope
5.85,-0.03471116
5.855,-0.016057655
5.86,-0.029098421
5.865,0.019834012
5.87,0.004025236
5.875,0.05419877
5.88,0.03481634
5.885,0.016393185
5.89,-0.0437278
5.895,0.07255885
5.9,0.021519989
5.905,0.005286187
5.91,0.02957204
5.915,-0.008639902
5.92,-0.019085005
5.925,0.042815775
5.93,-0.041710824
5.935,-0.06341053
5.94,-0.013137855
5.945,-0.019940741
5.95,0.03981428
5.955,0.02857162
5.96,-0.010018244
5.965,0.0037062466
5.97,0.035255983
5.975,0.099371314
5.98,0.042354852
5.985,0.022295818
5.99,0.011225551
5.995,0.04664147
6.0,-0.017584294
6.005,0.16955076
6.01,0.0019233227
6.015,0.11786632
6.02,0.083424404
6.025,0.07466015
6.03,0.12943305
6.035,0.10531703
6.04,0.009273618
6.045,0.01563394
6.05,0.026854783
6.055,0.14861874
6.06,-0.003237009
6.065,0.10501371
6.07,-0.016227394
6.075,0.012205139
6.08,0.07393539
6.085,-0.011995412
6.09,0.060563564
6.095,0.1442431
6.1,0.025693461
6.105,0.025687814
6.11,0.18168421
6.115,0.03492658
6.12,0.036939725
6.125,0.06057237
6.13,0.01888381
6.135,0.05590707
6.14,-0.036774784
6.145,1.9863248e-05
6.15,-0.053475305
6.155,0.03287956
6.16,-0.010096341
6.165,0.03268075
6.17,-0.030951679
6.175,-0.001161322
6.18,-0.0141654685
6.185,0.031787157
6.19,0.02958788
6.195,-0.014063418
6.2,-0.0006401688
6.205,-0.054440014
6.21,0.019803882
6.215,0.05599138
6.22,-0.0029343367
6.225,0.006510198
6.23,0.01861985
6.235,0.0676316
6.24,-0.012560248
6.245,0.09678377
6.25,0.10499781
6.255,0.0086904615
6.26,0.09828079
6.265,0.022784263
6.27,0.07968444
6.275,0.041280508
6.28,0.023913383
6.285,-0.027158953
6.29,0.019715533
6.295,0.007056117
6.3,-0.018467262
6.305,0.013383523
6.31,0.007932603
6.315,0.0029923916
6.32,-0.0215265
6.325,0.000805825
6.33,-0.021992624
6.335,0.034321293
6.34,0.00924255
6.345,0.05209294
6.35,-0.054564416
6.355,0.06027782
6.36,0.093038484
6.365,0.024811447
6.37,0.016504526
6.375,0.038890496
6.38,0.093720615
6.385,0.0569178
6.39,0.007275343
6.395,0.022735476
6.4,-0.02322618
6.405,-0.017346136
6.41,0.016122729
6.415,0.010644361
6.42,-0.025597006
6.425,-0.035195276
6.43,0.03493005
6.435,0.09318426
6.44,0.094598815
6.445,0.11288315
6.45,0.050904006
6.455,-0.027804054
6.46,0.09127955
6.465,0.031667843
6.47,0.07436496
6.475,0.13779016
6.48,0.03523901
6.485,0.11292364
6.49,0.12535922
6.495,0.06454383
6.5,0.03726639
6.505,0.010657653
6.51,0.037407562
6.515,0.07829873
6.52,0.009139925
6.525,0.038383543
6.53,0.04536538
6.535,0.027383536
6.54,0.09863679
6.545,0.080557674
6.55,-0.0141883865
6.555,0.06687264
6.56,0.10621688
6.565,0.1253063
6.57,-0.014284067
6.575,-0.019873612
6.58,0.026805997
6.585,0.02194117
6.59,-0.0237244
6.595,0.065160215
6.6,0.021200642
6.605,0.023125857
6.61,0.058397546
6.615,0.032999262
